TIME[UTC],X[km],Y[km],Z[km]
1 Jan 2020 20:25:00.000000000,2646.33284510981,-4572.94494846287,-4558.45291321408
1 Jan 2020 20:25:01.000000000,2647.21991745362,-4578.03405751387,-4552.82625054471
1 Jan 2020 20:25:02.000000000,2648.10315670603,-4583.11794970508,-4547.19424714886
1 Jan 2020 20:25:03.000000000,2648.98256259716,-4588.19661854067,-4541.55690963322
1 Jan 2020 20:25:04.000000000,2649.85813486215,-4593.2700575311,-4535.91424461069
1 Jan 2020 20:25:05.000000000,2650.72987324197,-4598.33826019269,-4530.26625870044
1 Jan 2020 20:25:06.000000000,2651.59777748259,-4603.40122004805,-4524.61295852789
1 Jan 2020 20:25:07.000000000,2652.46184733585,-4608.45893062563,-4518.95435072469
1 Jan 2020 20:25:08.000000000,2653.32208255844,-4613.51138546029,-4513.2904419287
1 Jan 2020 20:25:09.000000000,2654.17848291325,-4618.55857809258,-4507.62123878402
1 Jan 2020 20:25:10.000000000,2655.03104816782,-4623.60050206956,-4501.94674794094
1 Jan 2020 20:25:11.000000000,2655.87977809565,-4628.63715094412,-4496.26697605598
1 Jan 2020 20:25:12.000000000,2656.72467247535,-4633.66851827545,-4490.58192979182
1 Jan 2020 20:25:13.000000000,2657.56573109093,-4638.69459762888,-4484.89161581735
1 Jan 2020 20:25:14.000000000,2658.40295373215,-4643.71538257572,-4479.19604080764
1 Jan 2020 20:25:15.000000000,2659.23634019375,-4648.73086669364,-4473.49521144393
1 Jan 2020 20:25:16.000000000,2660.06589027622,-4653.74104356631,-4467.78913441361
1 Jan 2020 20:25:17.000000000,2660.89160378535,-4658.74590678364,-4462.07781641024
1 Jan 2020 20:25:18.000000000,2661.71348053244,-4663.74544994162,-4456.36126413352
1 Jan 2020 20:25:19.000000000,2662.53152033389,-4668.73966664265,-4450.6394842893
1 Jan 2020 20:25:20.000000000,2663.34572301186,-4673.72855049511,-4444.91248358956
1 Jan 2020 20:25:21.000000000,2664.15608839388,-4678.7120951136,-4439.18026875239
1 Jan 2020 20:25:22.000000000,2664.9626163126,-4683.69029411909,-4433.44284650202
